level,code,task_name,planned_dur,actual_start,actual_end,weight_pct,completion_pct,total_float,project_code,weight_norm
8,                                M6114,接线,7,2022-01-01,2022-01-05,20.28,100.0,-32,N791,0.0004506964126299003
8,                                C5030,图纸到场,0,2021-08-15,2021-08-15,0.0,100.0,0,N791,0.0
10,                                        C5040,土方开挖,3,2021-07-20,2021-07-22,15.79,100.0,34,N791,0.0003509120490841284
10,                                        C5060,柱基础施工,4,2021-07-23,2021-07-27,21.05,100.0,34,N791,0.0004678086531488856
10,                                        C5070,地梁,5,2021-07-28,2021-08-02,26.32,100.0,34,N791,0.0005849274941034997
10,                                        C5080,回填,4,2021-08-29,2021-09-01,21.05,100.0,4,N791,0.0004678086531488856
10,                                        C5090,室内地面,3,2021-10-24,2021-10-26,15.79,100.0,73,N791,0.0003509120490841284
10,                                        C5100,第一层,12,2021-09-02,2021-09-13,63.16,100.0,4,N791,0.0014036481963365136
10,                                        C5110,一层墙体砌筑,7,2021-10-03,2021-10-09,36.84,100.0,13,N791,0.0008187207022330141
10,                                        C5120,交安,1,2021-10-30,2021-10-30,100.0,100.0,73,N791,0.002222368898569528
10,                                        C5130,外粉,3,2021-10-17,2021-10-19,33.33,100.0,82,N791,0.0007407155538932236
10,                                        C5140,内粉,3,2021-10-17,2021-10-19,33.33,100.0,73,N791,0.0007407155538932236
10,                                        C5150,门窗,2,2021-10-20,2021-10-21,22.22,100.0,82,N791,0.0004938103692621491
10,                                        C5160,地砖,1,2021-10-27,2021-10-27,11.12,100.0,73,N791,0.0002471274215209315
9,                                    C2110235,土方开挖,4,2021-09-14,2021-09-17,13.33,100.0,58,N791,0.0002962417741793181
9,                                    C2110260,水池底板,6,2021-09-18,2021-09-19,20.0,100.0,58,N791,0.00044447377971390555
9,                                    C2110264,内隔墙,7,2021-10-25,2021-10-31,23.33,100.0,70,N791,0.0005184786640362708
9,                                    C2110270,水池壁板及顶板,7,2021-10-03,2021-10-10,23.33,100.0,70,N791,0.0005184786640362708
9,                                    C2110280,拆模回填,4,2021-10-10,2021-10-13,13.33,100.0,70,N791,0.0002962417741793181
9,                                    C5170,交安,2,2021-11-01,2021-11-02,6.68,100.0,70,N791,0.00014845424242444446
8,                                M51000,水泵安装,7,2021-11-28,2021-12-04,9.33,100.0,-36,N791,0.00020734701823653696
8,                                M51010,管道安装,14,2021-12-05,2021-12-18,18.67,100.0,-36,N791,0.0004149162733629309
8,                                M51020,冷却塔安装,1,2021-12-19,2021-12-19,1.33,100.0,-36,N791,2.955750635097472e-05
8,                                M6101,盘柜安装,10,2021-12-20,2021-12-22,13.33,100.0,-36,N791,0.0002962417741793181
8,                                M6102,桥架安装,10,2021-12-30,2022-01-08,13.33,100.0,-36,N791,0.0002962417741793181
8,                                M6103,电缆敷设,18,2022-01-01,2022-01-05,24.0,100.0,-61,N791,0.0005333685356566866
8,                                M6104,接线,15,2022-01-03,2022-01-08,20.01,100.0,-68,N791,0.00044469601660376254
8,                                C5180,图纸到场,0,2021-05-20,2021-05-20,0.0,100.0,0,N791,0.0
10,                                        C5190,土方开挖,3,2021-03-19,2021-03-26,15.79,100.0,161,N791,0.0003509120490841284
10,                                        C5200,柱基础施工,4,2021-04-03,2021-04-05,21.05,100.0,218,N791,0.0004678086531488856
10,                                        C5210,地梁,5,2021-04-06,2021-04-08,26.32,100.0,218,N791,0.0005849274941034997
10,                                        C5220,室内地面,3,2021-06-16,2021-06-18,15.79,100.0,208,N791,0.0003509120490841284
10,                                        C5230,回填,4,2021-05-09,2021-05-14,21.05,100.0,-25,N791,0.0004678086531488856
10,                                        C5240,第一层,12,2021-04-18,2021-04-24,63.16,100.0,220,N791,0.0014036481963365136
10,                                        C5250,一层墙体砌筑,7,2021-05-23,2021-06-05,36.84,100.0,222,N791,0.0008187207022330141
10,                                        C5260,交安,1,2021-06-19,2021-06-19,100.0,100.0,208,N791,0.002222368898569528
10,                                        C5270,外粉,3,2021-06-08,2021-06-10,33.33,100.0,229,N791,0.0007407155538932236
10,                                        C5280,内粉,3,2021-05-07,2021-06-09,33.33,100.0,222,N791,0.0007407155538932236
10,                                        C5290,门窗,2,2021-07-09,2021-07-11,22.22,100.0,190,N791,0.0004938103692621491
